ID number,Author last name,Variable name,Strategy name,Coded Value,Textual Evidence,Rationale
97,Barajas,strat_23,Develop and/or leveraging academic partnerships,1,"Funding support for RTI International was provided by the Centers for Disease Control and Prevention (CDC; Contract No. 200-2014-61263 Task 4, to RTI International).","The text indicates a formal, funded partnership with RTI International, a research institute, to support the program, which aligns with leveraging an academic-like partnership."
97,Barajas,strat_29,Obtain formal commitments,1,"Special thanks to LeeAnn Velasquez at the California Department of Public Health for support in managing the California Colon Cancer Control Program, maintaining the billing invoices for the contracted health centers, and facilitating the partnership with Neighborhood Healthcare.","The mention of ""contracted health centers"" and ""billing invoices"" indicates a formal commitment was established between the California Department of Public Health and the participating health centers."
97,Barajas,strat_35,Use an implementation advisor,1,"Funding support for RTI International was provided by the Centers for Disease Control and Prevention (CDC; Contract No. 200-2014-61263 Task 4, to RTI International).","The project involved a formal, funded partnership with RTI International, a research organization, which served as an external expert group for the project's evaluation."
97,Barajas,strat_40,Develop educational materials,1,"Also, to reduce structural barriers, the health centers gave patients picture-based educational materials and instructions available in English, Arabic, and Spanish.","The text describes the use of specially designed, multilingual, picture-based educational materials to support patients in completing the screening process."
97,Barajas,strat_41,Distribute educational materials,1,"Also, to reduce structural barriers, the health centers gave patients picture-based educational materials and instructions available in English, Arabic, and Spanish.",The text explicitly states that health centers gave educational materials and instructions to patients to support the intervention.
97,Barajas,strat_50,Remind clinicans,1,"Before initiating the incentive program, Neighborhood Healthcare had already instituted provider and patient reminders within health centers’ electronic medical record systems.",The text explicitly states that provider reminders were instituted within the electronic medical record systems as part of the multicomponent interventions.
97,Barajas,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,"Before initiating the incentive program, Neighborhood Healthcare had already instituted provider and patient reminders within health centers’ electronic medical record systems.",The study explicitly states that patient reminders were used as an intervention to increase screening uptake.
97,Barajas,strat_57,Access new funding,1,"To decrease disparities in CRC screening uptake, in 2015, the CDC (2018) funded 30 awardees (states, universities, and tribal health organizations) to implement evidence-based interventions (EBIs) to increase CRC screening uptake as part of its Colorectal Cancer Control Program...",The text states that the Centers for Disease Control and Prevention (CDC) funded awardees to implement evidence-based interventions as part of its Colorectal Cancer Control Program.
97,Barajas,strat_58,Alter incentive/allowance structures,1,"One incentive was given to all support staff at a health center (e.g., medical assistants, phlebotomists, front office staff, lab technicians) when its CRC screening uptake moved one 5-percentage point interval (e.g., from 45% to 50%). A second incentive was given to all support staff at the health center when a health center’s fecal immunochemical test (FIT) kit return rate for the month was 75% or higher.",The health system implemented two types of financial incentives for support staff based on achieving specific performance targets for CRC screening uptake and FIT kit return rates.
97,Barajas,strat_69,Change record systems,1,"Before initiating the incentive program, Neighborhood Healthcare had already instituted provider and patient reminders within health centers’ electronic medical record systems.",The text indicates that the electronic medical record systems were modified to include provider and patient reminders for colorectal cancer screening.
114,Bender,strat_1,Assess for readiness and identify barriers and faciliators,1,"Interactive discussions and provider surveys were conducted to assess interest, discuss gaps and priorities, and increase commitment to training, leading to the inclusion of five recommendations to guide the design of the Respiratory Toolkit (Table 1).","The study team conducted discussions and surveys with providers and leadership to assess interest, identify priorities, and gain commitment, which directly informed the design of the intervention."
114,Bender,strat_4,Conduct local needs assessment,1,"Interactive discussions and provider surveys were conducted to assess interest, discuss gaps and priorities, and increase commitment to training...","The study conducted discussions and surveys with providers to understand local gaps in care and priorities, which constitutes a local needs assessment."
114,Bender,strat_11,Centralize technical assistance,1,"A Respiratory Toolkit training website provided access to manuals, patient educational materials (in English and Spanish), spirometry and patient communication demonstration videos, answers to frequently asked questions, and links to other web-based resources.","The study created a centralized website with manuals, videos, and FAQs to provide technical assistance for implementing the Respiratory Toolkit."
114,Bender,strat_12,Facilitation,1,"Providers indicated that repeated spirometry practice, on-site practice coaching, emphasis on teamwork, and practice tools, including action plans, COPD screeners, and patient education workbooks, were particularly helpful to adopting practice guidelines.","The intervention bundled multiple strategies, including on-site practice coaching and in-clinic follow-up, to provide an interactive support process for implementation."
114,Bender,strat_14,Provide local technical assistance,1,"Provider feedback indicated that a number of factors contributed to success, including on-site training, repeated spirometry practice, on-site practice coaching, emphasis on teamwork, and practice tools.","The program provided on-site practice coaching and in-clinic follow-up visits, which constitutes local technical assistance to help providers adopt the new guidelines."
114,Bender,strat_16,Tailor strategies,1,"Interactive discussions and provider surveys were conducted to assess interest, discuss gaps and priorities, and increase commitment to training, leading to the inclusion of five recommendations to guide the design of the Respiratory Toolkit (Table 1).","The implementation team engaged providers through discussions and surveys to identify local needs and priorities, and this feedback was used to tailor the design of the intervention."
114,Bender,strat_18,Use data warehousing techniques,1,All baseline and post-training patient-level data were drawn from the MCPN EMR in the 6-month periods prior to the first training and following the asthma and COPD training segments.,The study utilized the existing electronic medical record (EMR) system as a data source to extract patient-level outcome measures for evaluation.
114,Bender,strat_21,Conduct local consensus discussions,1,"Interactive discussions and provider surveys were conducted to assess interest, discuss gaps and priorities, and increase commitment to training, leading to the inclusion of five recommendations to guide the design of the Respiratory Toolkit (Table 1).","The project team held discussions with local providers to assess needs and build consensus, which directly informed the program's design."
114,Bender,strat_23,Develop and/or leveraging academic partnerships,1,"From the Department of Pediatrics (Drs Bender and Liu), Department of Professional Education (Ms Dingae), Department of Nursing (Ms Fending), and Department of Medicine (Dr Make), National Jewish Health, Denver, CO.","The project was led and implemented by authors from National Jewish Health, an academic/specialty medical center, in partnership with a community provider network."
114,Bender,strat_27,Involve executive boards,1,Preparations for conducting the Respiratory Toolkit began with engagement with the MCPN leadership and health care providers.,The project team engaged the leadership of the participating health center network from the beginning of the implementation effort.
114,Bender,strat_33,Use advisory boards and workgroups,1,"Interactive discussions and provider surveys were conducted to assess interest, discuss gaps and priorities, and increase commitment to training, leading to the inclusion of five recommendations to guide the design of the Respiratory Toolkit (Table 1).","Providers and leadership were engaged through discussions and surveys to provide recommendations that guided the program's design, effectively serving as an advisory workgroup."
114,Bender,strat_35,Use an implementation advisor,1,"Provider feedback indicated that a number of factors contributed to success, including on-site training, repeated spirometry practice, on-site practice coaching, emphasis on teamwork, and practice tools.","The external team from National Jewish Health provided on-site practice coaching, acting as implementation advisors to the clinics."
114,Bender,strat_36,Conduct educational meetings,1,"In each phase (asthma in year one and COPD in year two), all MCPN participants attended a 1-day training workshop followed by two in-clinic follow-up visits at 1 and 2 months after the workshop.","The text describes a 1-day training workshop for all participants, which constitutes an educational meeting."
114,Bender,strat_37,Conduct educational outreach visits,1,...all MCPN participants attended a 1-day training workshop followed by two in-clinic follow-up visits at 1 and 2 months after the workshop.,"The implementation team conducted two in-person follow-up visits to each clinic site, which are educational outreach visits."
114,Bender,strat_38,Conduct ongoing training,1,...all MCPN participants attended a 1-day training workshop followed by two in-clinic follow-up visits at 1 and 2 months after the workshop.,The program included an initial workshop followed by purposefully spaced follow-up trainings at one and two months.
114,Bender,strat_40,Develop educational materials,1,"A Respiratory Toolkit training website provided access to manuals, patient educational materials (in English and Spanish), spirometry and patient communication demonstration videos, answers to frequently asked questions, and links to other web-based resources.","The project created a variety of educational materials, including manuals, patient materials, and demonstration videos, for the intervention."
114,Bender,strat_41,Distribute educational materials,1,"A Respiratory Toolkit training website provided access to manuals, patient educational materials (in English and Spanish), spirometry and patient communication demonstration videos, answers to frequently asked questions, and links to other web-based resources.",The project distributed educational materials by providing access to them on a training website.
114,Bender,strat_42,Make training dynamic,1,Spirometry was demonstrated and practiced repeatedly in small groups.,The training was made dynamic by including hands-on practice of a new skill in small group breakouts.
114,Bender,strat_43,Provide ongoing consultation,1,"Provider feedback indicated that a number of factors contributed to success, including on-site training, repeated spirometry practice, on-site practice coaching, emphasis on teamwork, and practice tools.","The use of on-site practice coaching indicates tailored support provided in the clinicians' actual practice setting, consistent with consultation."
114,Bender,strat_44,Shadow other experts,1,Spirometry was demonstrated and practiced repeatedly in small groups.,"The training included demonstrations of spirometry, which allowed participants to observe experts performing the skill."
114,Bender,strat_46,Work with educational institutions,1,"From the Department of Pediatrics (Drs Bender and Liu), Department of Professional Education (Ms Dingae), Department of Nursing (Ms Fending), and Department of Medicine (Dr Make), National Jewish Health, Denver, CO.","The training program was developed and delivered by staff from National Jewish Health, an academic medical center with expertise in the clinical area."
114,Bender,strat_50,Remind clinicans,1,Care and action plan templates were built into the MCPN electronic medical record (EMR).,"The implementation used EMR templates for care and action plans, which serve as electronic, encounter-specific reminders for clinicians to complete guideline-recommended tasks."
114,Bender,strat_55,Prepare patients/consumers to be active participants,1,"The program included interactive training with multidisciplinary teams, in-clinic follow-up trainings, electronic medical record (EMR) tools, and patient-centered educational resources.","The program deliberately provided patient-centered educational resources, materials, and workbooks to educate patients about evidence-based treatments, thereby preparing them to be active participants in their care."
114,Bender,strat_57,Access new funding,1,This program was funded by an educational grant from GlaxoSmithKline.,"The text explicitly states that the program was supported by an educational grant, which aligns with the definition of accessing new funding to support implementation activities."
114,Bender,strat_69,Change record systems,1,Care and action plan templates were built into the MCPN electronic medical record (EMR).,The study modified the electronic record system by building in care and action plan templates to support the implementation of guideline-based care.
194,Castañeda,strat_1,Assess for readiness and identify barriers and faciliators,1,"In addition, the clinic only offered stool tests or referrals to specialty screening for CRC, which presents barriers for uninsured patients. These barriers were minimized by the study covering the FIT costs and the development of a partnership with a local charity care network that provides screening colonoscopies at no cost for uninsured patients and linkages to treatment.",The study identified financial barriers for uninsured patients and facilitated the implementation by developing a partnership with a local charity to address this barrier.
194,Castañeda,strat_4,Conduct local needs assessment,1,The aim of the study was to test the implementation of two CRC screening strategies (in-reach and outreach) in a Federally Qualified Health Center (FQHC) primary care setting without a current organized CRC screening program among a predominantly Latino population.,The study conducted a local needs assessment by identifying a key gap in care—the absence of an organized colorectal cancer screening program at the clinic.
194,Castañeda,strat_5,Develop a formal implementation blueprint,1,"Both in-reach and outreach interventions were delivered by trained promotoras who utilized standardized patient education materials, handouts, in-person scripts, and phone scripts to ensure fidelity of the interventions.","The study developed a formal implementation plan by using standardized materials, handouts, and scripts to guide the delivery of the interventions and ensure fidelity."
194,Castañeda,strat_7,Develop and organize quality monitoring systems,1,The primary outcome was the proportion of individuals who completed their FIT test within a 3-month follow-up time period assessed by reviewing the EMR for lab results.,The study organized a quality monitoring system by using the electronic medical record to track the primary outcome of FIT test completion.
194,Castañeda,strat_10,Stage implementation scale up,1,"While patient-level responses in our pilot study appear to be much higher for the in-reach vs. outreach strategy, we postulate that a randomized trial is required to determine the comparative population benefits of these strategies on screening completion, and, based on our pilot work have initiated such a trial (clinicaltrials.gov ID NCT02870049).","The study was explicitly conducted as two pilot studies, with the results being used to inform the design and initiation of a subsequent larger-scale randomized trial."
194,Castañeda,strat_16,Tailor strategies,1,"The second pilot was a system-level Boutreach^ intervention consisting of mailed materials (i.e., FIT kit, culturally and linguistically tailored instructions, and a pre-paid return envelope).","The study tailored intervention materials to be culturally and linguistically appropriate for the target Latino population, such as providing instructions in English and Spanish."
194,Castañeda,strat_18,Use data warehousing techniques,1,The primary outcome was FIT kit completion and return within 3 months assessed through electronic medical records.,The study utilized the electronic medical record system to identify eligible participants and to assess the primary outcome of FIT kit completion.
194,Castañeda,strat_19,Build a coalition,1,These barriers were minimized by the study covering the FIT costs and the development of a partnership with a local charity care network that provides screening colonoscopies at no cost for uninsured patients and linkages to treatment.,"The study developed a partnership with a local charity care network to provide colonoscopies at no cost, which represents a partnership with shared resources and responsibilities to facilitate the intervention."
194,Castañeda,strat_23,Develop and/or leveraging academic partnerships,1,"This research was made possible by the SDSU/ UCSD Cancer Center Comprehensive Partnership NCI U54 CA13238406A1 (Arredondo, PI) and U54 CA13237906A1 (Martinez, PI);","The research was conducted through a formal partnership between academic institutions (SDSU/UCSD) and the FQHC, as detailed by the author affiliations and funding acknowledgements."
194,Castañeda,strat_35,Use an implementation advisor,1,"Sheila F. Castañeda1 & Balambal Bharti2 & Rebeca Aurora Espinoza-Giacinto1 & Valerie Sanchez3 & Shawne O’Connell3 & Fatima Muñoz3 & Sylvia Mercado3 & Marie Elena Meza3 & Wendy Rojas3 & Gregory A. Talavera1 & Samir Gupta2 ... 1 South Bay Latino Research Center, Graduate School of Public Health, San Diego State University... 2 Moores Cancer Center, University of California, San Diego... 3 San Ysidro Health Center, Inc.","The author list and affiliations demonstrate a direct collaboration with and use of expertise from university-affiliated faculty from San Diego State University and the University of California, San Diego to conduct the implementation study."
194,Castañeda,strat_40,Develop educational materials,1,"Both in-reach and outreach interventions were delivered by trained promotoras who utilized standardized patient education materials, handouts, in-person scripts, and phone scripts to ensure fidelity of the interventions.","The study created and used multiple educational materials, including standardized handouts, scripts, a flip-chart, and culturally tailored instructions to support the interventions."
194,Castañeda,strat_41,Distribute educational materials,1,"The outreach study was adapted from prior work [26, 33, 34], and consisted of a (1) mailed one page English and Spanish invitation, (2) an at-home FIT kit, (3) FIT completion instructions in English and Spanish, and (4) a self-addressed return envelope.","The study distributed educational materials to patients through both in-person encounters (giving FIT kits with instructions) and mailings (invitations, instructions)."
194,Castañeda,strat_48,Develop resource sharing agreements,1,These barriers were minimized by the study covering the FIT costs and the development of a partnership with a local charity care network that provides screening colonoscopies at no cost for uninsured patients and linkages to treatment.,"The study developed a partnership with a local charity care network to provide screening colonoscopies at no cost, which constitutes a resource sharing agreement."
194,Castañeda,strat_49,Faciliate relay of clinical data to providers,1,"Once the participant returned the FIT test and the results were in the EMR, the promotora sent a letter home and alerted the PCP following clinic protocol.","The promotora alerted the primary care provider once FIT test results were available in the electronic medical record, facilitating the relay of clinical data."
194,Castañeda,strat_50,Remind clinicans,1,"Once the participant returned the FIT test and the results were in the EMR, the promotora sent a letter home and alerted the PCP following clinic protocol.","Promotoras alerted the primary care provider about patient FIT test results, serving as a patient-specific reminder for the clinician."
194,Castañeda,strat_51,Revise professional roles,1,In-reach recruitment was carried out in-person by trained promotoras (culturally- and linguistically- aligned lay health educators who are part of the patient care team) [30] in the SYHC clinic waiting rooms at one of SYHC’s clinic sites.,"The study utilized trained promotoras to deliver key components of the intervention, including recruitment, education, and follow-up, thereby expanding their professional role within the patient care team."
194,Castañeda,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,Both interventions were supplemented by a follow-up phone call from a promotora to support FIT screening completion within 1–3 weeks of the initial session or package mailing.,"The use of follow-up phone calls serves as a direct reminder to patients to complete and return their FIT kits, which aligns with the definition of intervening to enhance uptake."
194,Castañeda,strat_55,Prepare patients/consumers to be active participants,1,"The in-reach study was adapted from previous work in the SYHC setting [31, 32] and took place before or after a regularly scheduled PCP clinical visit and consisted of a 10-min one-on-one educational session with a promotora, who (1) reviewed CRC and the importance of early detection, (2) reviewed risks and benefits of CRC screening tests, (3) modeled steps to complete an at-home FIT kit, and (4) gave the patient an at-home FIT kit with instructions.","The one-on-one educational session for the in-reach group educated patients about CRC screening, its risks and benefits, and how to complete the test, thereby preparing them to be active participants in the screening process."
194,Castañeda,strat_56,Use mass media,1,"The second pilot was a system-level Boutreach^ intervention consisting of mailed materials (i.e., FIT kit, culturally and linguistically tailored instructions, and a pre-paid return envelope).","The outreach intervention utilized mailed materials to a group of 100 eligible patients, which aligns with the definition's inclusion of 'mass mailings' as a method for spreading information."
194,Castañeda,strat_57,Access new funding,1,"This research was made possible by the SDSU/ UCSD Cancer Center Comprehensive Partnership NCI U54 CA13238406A1 (Arredondo, PI) and U54 CA13237906A1 (Martinez, PI); NCI R21 CA112368 (Talavera, PI); Redes en Acción NCI U54 CA153511 (Ramirez, PI/Talavera, PI); California Colorectal Cancer Coalition (C4); BPrimary Care Systems^ Walgreen’s for Change/ American Cancer Society (ACS) award.","The study was supported by multiple grants and awards, which aligns with the strategy of accessing new funding to support the implementation of a clinical innovation."
194,Castañeda,strat_70,Change service sites,1,"The second pilot was a system-level Boutreach^ intervention consisting of mailed materials (i.e., FIT kit, culturally and linguistically tailored instructions, and a pre-paid return envelope).",The outreach intervention brought the CRC screening service to patients in their homes by mailing them FIT kits and instructions.
195,Castañeda,strat_4,Conduct local needs assessment,1,"In 2015, the CRC screening rate at this FQHC for patients aged 51 through 74 years was 42.9%.","The study used local administrative data to identify low colorectal cancer screening rates at the FQHC, establishing a clear need for the intervention."
195,Castañeda,strat_5,Develop a formal implementation blueprint,1,Inreach consisted of a 10-minute scripted session with a bilingual “ﬂipchart” and an offer to complete screening at the time of a UC visit.,The use of a scripted session for the inreach intervention serves as a formal blueprint to guide the standardized delivery of the educational component.
195,Castañeda,strat_6,Develop and implement tools for quality monitoring,1,"Assessment of receipt of allocated intervention was based on absence of returned mail for outreach, receipt of in-clinic education for inreach, and completion of a clinic visit for UC, assessed through intervention tracking notes and EMR review for intervention groups and UC, respectively.","The study used intervention tracking notes to monitor whether participants received the allocated intervention, which constitutes a tool for quality monitoring."
195,Castañeda,strat_7,Develop and organize quality monitoring systems,1,"To identify the study sample, we queried the FQHC’s EMRs to identify individuals aged 50 to 75 years, not up to date with CRC screening... The primary outcome was screening completion within 6 months of randomization... ascertained through manual review of EMRs.",The study developed and used a system based on querying and reviewing electronic medical records to identify the target population and monitor the primary outcome of screening completion.
195,Castañeda,strat_16,Tailor strategies,1,"Mailed outreach components included a culturally tailored postcard primer 2 weeks after randomization and 2 weeks before a subsequent mailed package, which contained a cover letter from a primary care doctor, low-literacy instructions, and a self-addressed stamped envelope with the enclosed FIT to do at home.","The intervention materials, such as the postcard primer, were culturally tailored for the target population of low-income, Spanish-speaking Latinos."
195,Castañeda,strat_17,Use data experts,1,"For individuals meeting inclusion criteria after EMR review, the study biostatistician generated a randomization schedule for group assignment by using online computer software.","The study team engaged a biostatistician, a data expert, to generate the randomization schedule for the trial."
195,Castañeda,strat_18,Use data warehousing techniques,1,"To identify the study sample, we queried the FQHC’s EMRs to identify individuals aged 50 to 75 years, not up to date with CRC screening, who had self-identiﬁed as Latino, and had at least 1 primary care visit in the preceding year, served by a single primary care clinic.",The study team queried the health center's electronic medical records to identify the eligible patient sample and to track the primary outcome of screening completion.
195,Castañeda,strat_23,Develop and/or leveraging academic partnerships,1,"This research was made possible by the San Diego State University/University of California, San Diego Cancer Center Comprehensive Partnership (U54 CA13238406A1 and U54 CA13237906A1).","The study was conducted through a formal, funded partnership between academic institutions (San Diego State University, University of California, San Diego) and the clinical practice site (San Ysidro Health)."
195,Castañeda,strat_35,Use an implementation advisor,1,"Sheila F. Castan˜eda and Gregory A. Talavera are with the Department of Psychology, San Diego State University, Chula Vista, CA. Balambal Bharti, Lin Liu, and Samir Gupta are with the Moores Cancer Center, University of California, San Diego, La Jolla. Marielena Rojas, Silvia Mercado, Adriana M. Bearse, Jasmine Camacho, Manuel Song Lopez, and Fatima Mun˜oz are with San Ysidro Health, San Diego, CA.","The study team was composed of university-affiliated faculty and researchers who served as outside experts guiding the implementation trial at the FQHC, which aligns with the definition of using an implementation advisor."
195,Castañeda,strat_36,Conduct educational meetings,1,Inreach consisted of a 10-minute scripted session with a bilingual “ﬂipchart” and an offer to complete screening at the time of a UC visit.,The inreach intervention arm consisted of a one-on-one educational meeting with patients to promote colorectal cancer screening.
195,Castañeda,strat_40,Develop educational materials,1,"Inreach consisted of a 10-minute scripted session with a bilingual “ﬂipchart”... Mailed outreach components included a culturally tailored postcard primer... a subsequent mailed package, which contained a cover letter from a primary care doctor, low-literacy instructions...","The study developed multiple educational materials for patients, including a bilingual flipchart, a culturally tailored postcard, and low-literacy instructions."
195,Castañeda,strat_41,Distribute educational materials,1,"Inreach consisted of a 10-minute scripted session with a bilingual “ﬂipchart”... Mailed outreach components included a culturally tailored postcard primer 2 weeks after randomization and 2 weeks before a subsequent mailed package, which contained a cover letter from a primary care doctor, low-literacy instructions...","The study distributed educational materials to patients, including a flipchart used during in-clinic sessions and mailed postcards, letters, and instructions."
195,Castañeda,strat_46,Work with educational institutions,1,"This research was made possible by the San Diego State University/University of California, San Diego Cancer Center Comprehensive Partnership (U54 CA13238406A1 and U54 CA13237906A1).","The study was conducted as a partnership between university researchers and a federally qualified health center, leveraging academic expertise for the implementation trial."
195,Castañeda,strat_51,Revise professional roles,1,"Outreach and inreach were delivered by bilingual, bicultural trained patient navigators and included telephone reminders for FIT completion.","The study utilized trained patient navigators to deliver the educational and outreach interventions, which represents a revision or expansion of professional roles to provide the clinical innovation."
195,Castañeda,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,"Outreach and inreach were delivered by bilingual, bicultural trained patient navigators and included telephone reminders for FIT completion.","The study used telephone reminders for patients in the outreach and inreach arms to encourage completion of the FIT test, which directly aligns with the strategy of using patient reminders to enhance uptake."
195,Castañeda,strat_56,Use mass media,1,"Mailed outreach components included a culturally tailored postcard primer 2 weeks after randomization and 2 weeks before a subsequent mailed package, which contained a cover letter from a primary care doctor, low-literacy instructions, and a self-addressed stamped envelope with the enclosed FIT to do at home.","The study's outreach arms utilized mass mailings, including a postcard primer and a mailed package with a FIT kit, to a large group of patients, which is a form of mass media as defined by the strategy."
195,Castañeda,strat_57,Access new funding,1,"This research was made possible by the San Diego State University/University of California, San Diego Cancer Center Comprehensive Partnership (U54 CA13238406A1 and U54 CA13237906A1).","The study, which included the delivery of the clinical innovation, was funded by a grant partnership, which constitutes accessing new funding."
195,Castañeda,strat_70,Change service sites,1,"Mailed outreach components included a culturally tailored postcard primer 2 weeks after randomization and 2 weeks before a subsequent mailed package, which contained a cover letter from a primary care doctor, low-literacy instructions, and a self-addressed stamped envelope with the enclosed FIT to do at home.","The mailed outreach intervention brought the screening service (a FIT kit) directly to the patient's home, which aligns with the definition of changing the service site."
3440,Centra,strat_1,Assess for readiness and identify barriers and faciliators,1,"Because of stafﬁng shortages, the project leader was initially informed that the clinical support team would not participate directly in the project and the interventions could only be directed toward the medical providers.","The project team assessed staffing capacity, which directly influenced the initial implementation plan for engaging the clinical team."
3440,Centra,strat_2,Audit and provide feedback,1,"The chart audits uncovered 13 missing CRC screenings, which accounted for less than 3% of the patient population aged 50–75 years. Although modest in size, it did identify a knowledge deﬁcit. The clinical team and providers were educated on the correct method to enter CRC screenings into the EMR ﬂowsheet.","The project team conducted chart audits, identified a performance gap in data entry, and provided feedback and education to the clinical team to correct it."
3440,Centra,strat_3,Conduct cyclical small tests of change,1,"The Plan, Do, Act, Study or PDSA cycle guided the implementation of targeted interventions in the practice setting and evaluation of their impact on the speciﬁc aim statement.",The project explicitly used the Plan-Do-Study-Act (PDSA) cycle as the framework for implementing and evaluating interventions.
3440,Centra,strat_4,Conduct local needs assessment,1,Local Problem: The mean CRC screening rate for the designated Federally Qualiﬁed Health Center (FQHC) was 33.7% for the 5 months preceding this quality improvement (QI) project. The benchmark target for CRC screening was 60.1%.,The project identified a local performance gap by analyzing the health center's specific colorectal cancer screening rates compared to a benchmark target.
3440,Centra,strat_6,Develop and implement tools for quality monitoring,1,The clinical lead nurse also began tracking FIT orders in Excel for follow-up.,"A new tool, an Excel spreadsheet, was developed and implemented by the clinical lead nurse to monitor follow-up for FIT orders."
3440,Centra,strat_7,Develop and organize quality monitoring systems,1,The clinical lead nurse began to identify and add pop-up reminders to the EMR of overdue patients.,The project team organized a quality monitoring system by implementing pop-up reminders within the existing electronic medical record for overdue patients.
3440,Centra,strat_9,Purposefully reexamine the implementation,1,"The project leader and practice mentor met bimonthly throughout the 16-week intervention phase to evaluate the effects of the interventions, continued barriers to test completion, and the addition of new PDSA cycles based on clinic team feedback, chart audit data, and monthly performance metrics.","The project team held scheduled bimonthly meetings to review data and evaluate the interventions, leading to adaptations throughout the implementation period."
3440,Centra,strat_12,Facilitation,1,"The project leader and practice mentor met bimonthly throughout the 16-week intervention phase to evaluate the effects of the interventions, continued barriers to test completion, and the addition of new PDSA cycles based on clinic team feedback, chart audit data, and monthly performance metrics.","The project leader and practice mentor provided interactive support throughout the project by meeting regularly with the team to evaluate progress, address barriers, and adapt interventions based on feedback."
3440,Centra,strat_14,Provide local technical assistance,1,"Several clinical team members verbalized a lack of understanding regarding this process. The next clinical meeting agenda addressed this knowledge deﬁcit, and team members were emailed step-by-step instructions for future reference.",The project leader provided local technical assistance by addressing a knowledge deficit about EMR data entry through a clinical meeting and by emailing step-by-step instructions to the team.
3440,Centra,strat_15,Promote adaptability,1,"The ability to run multiple PDSA cycles throughout the 4-month intervention phase facilitated the ability to add, adapt, maintain, or discard interventions based on internal and external contributing factors","The project explicitly used the Plan-Do-Study-Act framework, which allowed for the adaptation of interventions throughout the implementation phase based on ongoing evaluation and contextual factors."
3440,Centra,strat_16,Tailor strategies,1,"The QI project aims, measures, and interventions were designed speciﬁcally for this FQHC and the patient population it serves.","The project was explicitly tailored from the outset to the specific context of the Federally Qualified Health Center and its unique patient population, which includes unhoused individuals and recent refugees."
3440,Centra,strat_18,Use data warehousing techniques,1,The CHAN UDS Colon Cancer Screening Compliance Report provided quantitative outcome measures for FQHC patients aged 50–75 years without a previous diagnosis of colon cancer.,"The project utilized an existing data system, the CHAN UDS report, which pulls from electronic medical records, to provide the quantitative outcome measures for the study."
3440,Centra,strat_20,Capture and share local knowledge,1,"After the presentation, several nurses suggested identifying patients who were due for CRC screening (during the rooming process) and notifying the provider in the electronic medical record (EMR) note. It was discussed and agreed on as a group.",This quote shows the project team capturing local knowledge from frontline staff and sharing it to adapt the implementation process.
3440,Centra,strat_21,Conduct local consensus discussions,1,"After the presentation, several nurses suggested identifying patients who were due for CRC screening (during the rooming process) and notifying the provider in the electronic medical record (EMR) note. It was discussed and agreed on as a group.","This quote demonstrates that stakeholders were engaged in a discussion that led to a group agreement on a new process, which is an example of building consensus."
3440,Centra,strat_23,Develop and/or leveraging academic partnerships,1,"The QI team consisted of a Doctor of Nursing Practice (DNP) student (project leader), a NP (practice mentor), and a NP program faculty advisor.","The project was led by a DNP student and advised by a faculty member from Rivier University, demonstrating a clear partnership between an academic institution and the FQHC."
3440,Centra,strat_26,Inform local opinion leaders,1,Informal meetings with the full-time providers took place in the ﬁrst two weeks after launch to reinforce the importance of a strong provider recommendation for CRC screening.,"This quote shows a deliberate effort to inform and influence providers, who act as key opinion leaders for patients regarding screening recommendations."
3440,Centra,strat_27,Involve executive boards,1,The project leader and practice mentor completed three separate mail initiatives after approval from FQHC leadership on review of the chart audit results.,"This quote shows that the FQHC leadership team, a group with 'top-down' power, was involved in the project by providing formal approval for specific interventions."
3440,Centra,strat_30,Organize clinician implementation team meetings,1,"Approximately 6 weeks later, this decision was reversed, and the project leader was invited to present the CRC screening project at the bimonthly clinical team meeting.",This quote explicitly describes the project leader presenting the implementation project at a regularly scheduled meeting of the clinical team.
3440,Centra,strat_32,"Recruit, designate and train for leadership",1,"The QI team consisted of a Doctor of Nursing Practice (DNP) student (project leader), a NP (practice mentor), and a NP program faculty advisor.","This quote shows that specific individuals, a project leader and a practice mentor, were designated to lead the quality improvement effort."
3440,Centra,strat_33,Use advisory boards and workgroups,1,"The QI team consisted of a Doctor of Nursing Practice (DNP) student (project leader), a NP (practice mentor), and a NP program faculty advisor.","The QI team described in the quote functioned as a dedicated workgroup that planned, led, and evaluated the implementation project."
3440,Centra,strat_35,Use an implementation advisor,1,"The QI team consisted of a Doctor of Nursing Practice (DNP) student (project leader), a NP (practice mentor), and a NP program faculty advisor.","The NP program faculty advisor is a university-affiliated expert who provided consultation and guidance to the project, fitting the definition of an implementation advisor."
3440,Centra,strat_36,Conduct educational meetings,1,"The FQHC leadership team participated in a 20-minute PowerPoint presentation explaining the QI project, followed by a group discussion. The project leader later delivered this PowerPoint presentation to the clinical team.",The project leader conducted dedicated educational meetings with both leadership and the clinical team using a PowerPoint presentation to explain the quality improvement project.
3440,Centra,strat_40,Develop educational materials,1,"The project leader created the resources, “Provider Guide to Colorectal Cancer Screening” (Figure 1) and “5 Steps to Improve Colorectal Cancer Screening Rates” (Figure 2) as simple tools for the clinical team.","The project leader developed specific educational materials, including guides and simple tools, to support the clinical team in the new screening process."
