ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no"""
3971,Kruse,strat_11,11,Centralize technical assistance,1,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"A central entity, the Massachusetts League of Community Health Centers (Mass League), provided technical assistance in the form of data system training to all participating health centers.",Correct,1,,
4647,Samuel-Hodge,strat_11,11,Centralize technical assistance,1,Research team coaches implementation team on Med South delivery and implementation during monthly technical assistance phone calls,"The research team acts as a centralized entity providing regular coaching and support on implementation issues to the local sites via phone calls, which directly aligns with the definition of centralizing technical assistance.",Correct,1,"Explicity call out ""monthly technical assistance calls""",
3994,Ghosh,strat_12,12,Facilitation,1,"To organize and run the evening/weekend CCS-only sessions, an operations team was created. The team consisted of the CCS project lead, the OB/ Gyn clinical leader, operations managers from OB/Gyn and FM, and the OB/Gyn clinical supervisor. Weekly meetings were held from April 2 to July 23, 2021.","This describes an internal team, including a project lead, engaging in interactive problem-solving and support through weekly meetings to organize and implement the new screening clinics, which is characteristic of facilitation.",No,0,"This is the intervention, not facilitation as a strategy",No - The use of someone in a role of facilitator isn't specified 
4069,Glasser,strat_12,12,Facilitation,1,"Our primary aim was to address these barriers to care and inequity in access to CRC screening, using a combined model of practice facilitation and patient navigation as a targeted intervention.","The paper explicitly identifies practice facilitation as a core component of its intervention, defining it as a strategy to improve primary healthcare processes and build internal capacity for quality improvement.",Correct,1,,
3974,Shareef,strat_12,12,Facilitation,1,"A patient navigator followed up with participants with an abnormal FIT result. The patient navigator was provided with a weekly list of individuals with an abnormal FIT and asked to use a checklist to ensure completion of key steps in the follow-up process, and to implement specific interventions for any incomplete steps (Table 1).","The patient navigator's role, which involves following up with patients, identifying and addressing barriers, providing reminders, and communicating with providers, is a clear example of interactive problem-solving and support to improve the colonoscopy follow-up process, fitting the definition of facilitation.",Correct,1,,
4684,Thakur,strat_12,12,Facilitation,1,"in follow-up visits, pharmacists downloaded and reviewed the glucose data and adjusted patients’ medications.","The pharmacists engaged in interactive problem-solving and support by reviewing patient-specific data and making medication adjustments, which is a core component of facilitation.",No,0,This is the interention ,Agreed No
3528,Kim,strat_13,13,Provide clinical supervision,1,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","The local health care teamlet, including a provider and health coach, met weekly for ongoing supervision focused on using the remote patient monitoring data to manage patient care plans.",No,0,This seems more like facilitation; No--i wouldn't code this as clinical supervision (which tends to be a formal structured process or facilitation) ,No
4069,Glasser,strat_14,14,Provide local technical assistance,1,"In an effort to address barriers to care and health system inequities, a full-time patient navigator was hired by Roswell and embedded in the JRCHC to provide both provider and patient education, develop culturally tailored patient education materials (visual), schedule/coordinate services (transportation, interpreters, obtaining prep solution for colonoscopy), and distribute stool-based tests using FIT for those deferring or ineligible for colonoscopy as a screening option.",The intervention used a patient navigator embedded locally within the clinic to provide direct technical assistance to providers and patients on the implementation of CRC screening guidelines.,Correct,1,,
3528,Kim,strat_14,14,Provide local technical assistance,1,A clinic digital navigator assisted patients with technology setup and use either in the clinic or by phone.,"The intervention used local clinic staff, designated as digital navigators, to provide technical assistance to patients on how to set up and use the remote monitoring technology.",Correct,1,,
4503,McCann,strat_14,14,Provide local technical assistance,1,The project leader created tip sheets on how to link external documentation in a way that will count toward UDS measures.,"This quote shows that a local project leader developed and provided educational materials to assist staff with the technical aspects of the new workflow, which is a form of local technical assistance.",Correct,1,Do tip sheets count?,I think yes on this one--i went into this manuscript...they changed the local technical process supported by the tip sheet to ensure a higher quality of UDS data 
4684,Thakur,strat_14,14,Provide local technical assistance,1,"During enrollment and subsequent visits, pharmacists were responsible for the application and removal of CGM sensors. They also provided patient education and instructions on how to use CGM devices.",Local personnel (pharmacists) provided technical assistance focused on the implementation of the CGM innovation by educating patients on device use and managing the sensors.,Correct,1,,
4519,EspinozaSalomon,strat_15,15,Promote adaptability,1,"In the original protocol, only one parent was to receive a personal activity tracker. Within the first 2 cycles, it became clear that for families with 2 parents participating in BodyWorks, determining which parent received the PAT was sometimes a source of conflict. Therefore, we decided to allow both parents to have a PAT if they were both interested in using one.",The study team adapted the intervention protocol by changing who received a personal activity tracker to better meet the needs of participating families and resolve a conflict that arose during implementation.,No ,0,Flag - Is this tailoring instead of promoting adaptability since it was during the intervention and not in the original innovation,I would code this tailor strategies as well
4746,Llavona-Ortiz,strat_15,15,Promote adaptability,1,"First, the intervention was developed using a systematic framework grounded in evidence-based strategies, and was culturally adapted to address the unique needs and barriers faced by the Puerto Rican population.","The study explicitly states that the intervention was culturally adapted based on formative research to address the specific needs and barriers of the local population, which is the core of promoting adaptability.",Correct,1,,
3987,Nuno,strat_15,15,Promote adaptability,1,The changes made to the US version of MSD included weights in ounces and pounds and heights in inches and feet. All other topics and the intervention structure remained the same.,"This quote shows the intervention was adapted for the local context by changing measurement units, while explicitly stating that the core components of the intervention were maintained to preserve fidelity.",Correct,1,,
4647,Samuel-Hodge,strat_15,15,Promote adaptability,1,"The recommended dietary pattern is a Mediterranean dietary pattern adapted for the southeastern US food culture, with a focus on aﬀordable and familiar foods such as peanuts or peanut butter, vegetable oils, and modiﬁed recipes for traditional southern foods such as hush puppies, collard greens, and barbeque.",This quote shows the clinical innovation (the Med-South diet) was deliberately adapted to meet local needs by incorporating familiar and culturally relevant foods from the southeastern US.,Correct,1,,
4811,Bowen,strat_16,16,Tailor strategies,1,"Considering that just 21.2% of residents aged 25 and over possess a bachelor's degree, the questions were developed at a minimum level of complexity, 6th grade, 10,29 as indicated by the Flesch-Kincaid grade level score provided by Microsoft © readability statistics.",The implementation team tailored the survey instruments to address the identified local barrier of low education levels in the participant population.,"No.  This was not in reference to the intervention, rather it was one of the measures ",0,Doesn't tailoring the intervention to participant needs count?,"No, that is data collection"
4519,EspinozaSalomon,strat_16,16,Tailor strategies,1,"One participant asked, “We look at my Fitbit every week, why do I have to fill this out?” After 2 cycles, the study team decided to no longer collect physical activity logs.",The implementation strategy of collecting paper-based activity logs was tailored by removing it after early data collection in the form of participant feedback identified it as a barrier due to redundancy.,Correct,1,,
3994,Ghosh,strat_16,16,Tailor strategies,1,The evening/weekend sessions were done at different times to evaluate optimal timing and staffing for possible future permanent CCS clinics.,"The project team deliberately varied the timing of the extra clinic sessions to determine the most effective approach for their local patient population, which is a direct example of tailoring an implementation strategy to fit the local context.",Correct,1,,
4069,Glasser,strat_16,16,Tailor strategies,1,"Throughout the implementation of this intervention, barriers and facilitators were identified, and we adapted the intervention accordingly to meet the needs of this diverse patient population using a continuous QI methodology.","The authors explicitly state that they identified barriers and facilitators during the project and adapted their intervention to meet the specific needs of their patient population, which is the definition of tailoring strategies.",Correct,1,,
4701,Katz,strat_16,16,Tailor strategies,1,"Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners). Discussions centered on barriers and facilitators for CRC screening and the content and format for the proposed intervention materials.","The researchers conducted formative work including focus groups and interviews with community members and providers to identify barriers and facilitators, and then used this information to develop the content and format of the intervention materials.",Correct,1,,
3528,Kim,strat_16,16,Tailor strategies,1,The survey was used to tailor the technology package offered to the participant and guide the starting conversations with the health coach.,The study tailored implementation strategies by using an enrollment survey to gather data on technology access and literacy to customize the technology package for each participant.,Correct,1,,
4520,Radtke,strat_16,16,Tailor strategies,1,"The clinic and community partners prioritized bilingual staffing, proactive communication from familiar healthcare practitioners and staff, and consistency in implementation, resulting in high patient engagement in the intervention.","The implementation team tailored its staffing and communication strategies by using bilingual staff to address the known language needs of the target population, which fits the definition of tailoring strategies to the context.",Correct,1,,
3974,Shareef,strat_16,16,Tailor strategies,1,Results of the initial PDSA cycle were assessed through review of quantitative data and interactive dialogues with the patient navigation and care coordination teams and Family Health Centers of San Diego leaders. Between cycles several changes were made to streamline the process and address challenges.,"The study explicitly used a Plan-Do-Study-Act (PDSA) model where data and feedback from the first implementation cycle were used to identify challenges and make specific changes to the intervention for the next cycle, which is the definition of tailoring strategies.",Correct,1,,
4545,TangkaFKL,strat_16,16,Tailor strategies,1,The timeframe and number of text and reminder calls varied over the years as the AltaMed team changed the intensity of this intervention to increase the percentage of tests returned.,"The text describes how the implementation team deliberately modified the timing and frequency of reminder calls and texts over several years in an effort to increase the rate of returned test kits, which fits the definition of tailoring strategies based on ongoing results.",Correct,1,,
4684,Thakur,strat_16,16,Tailor strategies,1,"Follow-up visits were scheduled according to the patient’s HbA1c levels. For patients with HbA1c levels greater than 9%, follow-up visits were recommended every 2 weeks. In contrast, patients with HbA1c levels between 6% and 8% (relatively stable glucose control) were scheduled for follow-up every 3 months.","The implementation team tailored the follow-up strategy by adjusting the frequency of visits based on patients' baseline HbA1c levels, addressing the barrier of poor glycemic control with more intensive support.",No,0,Is scheduling follow up based upon these levels tailoring or standard practice/part of the intervention?,"No - I wouldn't code this tailor strategies because they are describing clinical protocol (e.g., how often patients will be seen) "
4519,EspinozaSalomon,strat_17,17,Use data experts,1,Research reported in this publication was supported by the Biostatistics Core of The Saban Research Institute at Children’s Hospital Los Angeles (CHLA) and by grants (UL1TR001855 and UL1TR000130) from the National Center for Advancing Translational Science (NCATS) of the US National Institutes of Health (NIH).,The study team involved data experts from a Biostatistics Core to analyze and interpret the data generated by the implementation effort.,No ,0,The textual evidence is from a funding acknowledgment ,No - Agree
3994,Ghosh,strat_17,17,Use data experts,1,"Following their visits, patients placed the completed surveys into a marked box, and the surveys were subsequently sent to the Crossroads Group for data analysis.","The project team engaged an external survey company, the Crossroads Group, as data experts to analyze patient satisfaction survey data collected during the implementation effort.",Correct,1,,
4069,Glasser,strat_17,17,Use data experts,1,K.M.A. analyzed and interpreted the patient data regarding the CRC screening rates over time.,"The study team involved a biostatistician (K.M.A.) from the Department of Biostatistics & Bioinformatics to analyze and interpret the data generated by the implementation effort, which aligns with the definition of using data experts.",Correct,1,,
4674,HudakKMA,strat_17,17,Use data experts,1,Data extractions were created and shared through a Secure File Transfer Protocol site with the evaluation team.,"The project engaged an external evaluation team with data expertise from NORC to analyze program data and assess outcomes, thereby informing stakeholders about the program's effectiveness.",Correct,1,,
3971,Kruse,strat_17,17,Use data experts,1,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"The study involved an external organization, Mass League, which acted as a data expert by providing training to the FQHCs on how to use the DRVS data system to generate and use data for implementation.",Correct,1,,
4684,Thakur,strat_17,17,Use data experts,1,We enumerated the key takeaways from this project with a team-based approach involving key stakeholders in the program including the lead pharmacist and the data analyst.,"The project team involved a data analyst to help interpret the implementation data and generate key takeaways to guide future strategy, which aligns with consulting an expert on the use of data.",Correct,1,,
4247,Coronado,strat_18,18,Use data warehousing techniques,1,The FQHC has near-complete capture of FIT events in the electronic health record (EHR) that is facilitated by a direct electronic interface with the reference laboratory (Quest).,The study integrated clinical records between the FQHC's EHR and an external organization (the reference laboratory) to facilitate the implementation and tracking of the mailed FIT program.,Correct,1,,
4052,Gautom,strat_18,18,Use data warehousing techniques,1,Data on patient demographics and healthcare utilization were extracted from Sea Mar’s EHR (AllScripts and Epic) and entered into the REDCap data collection system.,The study integrated patient data from two different electronic health record systems (AllScripts and Epic) within the FQHC and consolidated it into a central REDCap database hosted by a partner research organization to facilitate the implementation.,No ,0,"Records seem to all be from 1 facility, but different systems within that facility",No - Unsure--i would be worried that its more for the research eval than an imp strategy based on what is in the text
4036,McAtee,strat_18,18,Use data warehousing techniques,1,"Data submissions were cleaned, and data were combined for patients via their client ID.",The program combined patient data submitted from multiple distinct health care organizations (a federally qualified health center and a hospital organization) using a client ID system to track and analyze outcomes across different sites.,Correct,1,,
