ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no""",Rationale
4647,Samuel-Hodge,strat_41,41,Distribute educational materials,1,Additional strategies included distribution of educational materials (participant manuals and cookbooks) and monthly technical assistance calls.,"The research team actively distributed program-specific educational materials, including manuals and cookbooks, to the participating sites and participants to support program delivery.",Correct,1,See column G; pretty clear,,
4545,TangkaFKL,strat_41,41,Distribute educational materials,1,"AltaMed provided informational brochures to educate patients on all available screening options, and patients could choose a CRC screening test, for example FIT or FIT‐DNA, based on their preference during their discussion with providers.","The text states that informational brochures were provided to patients, which is a direct example of distributing educational materials to a target stakeholder group.",Correct,1,See column G; pretty clear,,
3934,Venishetty,strat_41,41,Distribute educational materials,1,"The mailed packet included a FIT kit, a baseline survey, a written consent form, and an educational leaflet with instructions on collecting the sample.","The study mailed an educational leaflet with instructions to participants as part of the intervention packet, which is a direct example of distributing educational materials.",Correct,1,See column G; pretty clear,,
4068,Yan,strat_41,41,Distribute educational materials,1,Patients received 3‐5 text messages per week.,"The intervention involved electronically distributing educational content to patients via 3-5 text messages per week, which directly aligns with the definition of distributing educational materials.",Correct,1,See rationale,,
4202,Coronado,strat_43,43,Provide ongoing consultation,1,"Project management for mailed FIT Includes planning, coordination, meetings, ongoing consultation, etc.","The text explicitly lists ongoing consultation as a component of project management for the mailed FIT program, indicating expert guidance was provided to support implementation.",Correct,1,See Rationale,,
4519,EspinozaSalomon,strat_43,43,Provide ongoing consultation,1,"Each week, a member of the study team reviewed each participant’s data with them, praising achievements, identifying barriers to physical activity, and discussing solutions.","The text describes study team members providing weekly, individualized consultation and feedback to participants based on their personal activity tracker data, which is tailored to their actual practice.",No,0,"No.  This should be at level of clinician not patient.  Coded appropriately as ""intevene with patients to enhance update""",No,agree
3994,Ghosh,strat_43,43,Provide ongoing consultation,1,A messaging pool was created in the EMR for providers to ask gynecologists questions about CCS necessity or frequency during the validation process.,"A dedicated messaging system was established for providers to receive ongoing, tailored consultation from expert gynecologists regarding specific patient cases during the chart validation phase.",Correct,1,See column G; pretty clear,,
3528,Kim,strat_43,43,Provide ongoing consultation,1,"Over 6 months, the ACTIVATE team met with clinic codesigners in several workstream meetings every 2 weeks: digital health pathway (clinic workﬂow, care coordination), technology (information technology, technology education, and training), and community engagement (digital health barriers, health education, patient outreach).","The external ACTIVATE research team provided ongoing, structured consultation to the clinic staff and providers over a six-month period through bi-weekly meetings to guide the implementation of the digital health program.",Correct,1,See column G; pretty clear,,
4647,Samuel-Hodge,strat_43,43,Provide ongoing consultation,1,Research team coaches implementation team on Med South delivery and implementation during monthly technical assistance phone calls,"The research team provided ongoing, tailored support to site implementation teams through monthly technical assistance calls, which constitutes consultation from experts on program delivery and implementation.",Correct,1,See column G; pretty clear,,
4811,Bowen,strat_45,45,Use train-the-trainer strategies,1,"An additional 30-minute educational training was conducted with 1 RN and 1 CMA, who functioned as health coaches for the program. The training provided the health care coaches with information to include in the weekly session with each participant.","This describes the nurse practitioner training other clinic staff (an RN and a CMA) to function as health coaches who would then deliver the intervention to patients, which is a clear example of a train-the-trainer strategy.",Correct,1,See column G; pretty clear,,
4036,McAtee,strat_46,46,Work with educational institutions,1,The authors also thank the Community Health Worker Association of Rhode Island and Rhode Island College (RIC) Institute for Education in Healthcare for facilitating the Specialty Endorsement in Cardiovascular Health & Diabetes (CVD/DM).,"This quote explicitly states that the program worked with an educational institution, Rhode Island College, to facilitate the training and endorsement for the community health workers.",Correct,1,See column G; pretty clear,,
3528,Kim,strat_47,47,Create new clinical teams,1,The clinic codesigners reengineered clinic workﬂows and assigned a health care teamlet to conduct program activities.,"The project deliberately assigned a specific teamlet, which included a provider, health coach, and a new digital health navigator role, to implement the intervention, thereby creating a new team structure to deliver the innovation.",Correct,1,See column G; pretty clear,,
4684,Thakur,strat_47,47,Create new clinical teams,1,"Our pilot implementation study of CGM was led by a pharmacist team, which consisted of 1.2 FTE clinical pharmacists and 2 FTE pharmacy residents. This interdisciplinary approach with recruitments by clinicians and nurses and follow-up by pharmacy team was chosen based on the evidence that collaborative health care teams are effective in integrating digital health in primary care settings","The study deliberately formed an interdisciplinary team involving pharmacists, clinicians, and nurses to implement the CGM program, which constitutes creating a clinical team to deliver the innovation.",Correct,1,See column G; pretty clear,,
4202,Coronado,strat_48,48,Develop resource sharing agreements,1,Texts and automated calls were sent by a contracted vendor (Stericycle Communication Solutions); the outgoing phone number was a local number.,"The study contracted with an external vendor to deliver automated text and phone call reminders, which constitutes a resource sharing agreement to implement the intervention.",Correct,1,Not coded very frequently in prior coding. Contracting was included under this code previously ,,
4052,Gautom,strat_48,48,Develop resource sharing agreements,1,"PRECISE was conducted as a partnership between the Kaiser Permanente Center for Health Research and Sea Mar Community Health Centers, a large, multi-facility FQHC headquartered in Seattle, Washington.","The implementation was facilitated by a formal partnership between a research center and an FQHC, which involved sharing resources like a REDCap database and research expertise to deliver the patient navigation program.",No.  ,0,No indication of a contract or agreement in text,No,Agree; tho was it coded under Develop stakeholder interrelationships?
4701,Katz,strat_48,48,Develop resource sharing agreements,1,"The pilot study was conducted in partnership with a federally qualified health center (FQHC) located in Scioto County, Ohio to pilot test the mailed FIT outreach program, called Fit Starts at 45.","The study partnered with an FQHC which provided essential resources like patient lists and staff time for medical record review and patient follow-up, fitting the definition of a resource sharing agreement.",No,0,No indication of a contract or agreement in text,No,Agree
3528,Kim,strat_48,48,Develop resource sharing agreements,1,A data use agreement was signed by the health center and the ACTIVATE team that allowed for use of a Health Insurance Portability and Accountability Act limited data set for analysis purposes.,"This quote describes a formal agreement between the health center and the external ACTIVATE research team to share patient data, a key resource needed for the analysis and evaluation of the implementation project.",Correct,1,See column G; pretty clear,,
4520,Radtke,strat_48,48,Develop resource sharing agreements,1,Patients were prescribed a weekly food voucher to be redeemed at the Merced County Food Bank.,"The clinical center partnered with a local food bank, which provided the food resources central to the ""Food is Medicine"" intervention, demonstrating a resource sharing agreement to implement the innovation.",Correct,1,Definition includes formal and informal methods of resource sharing ,,
4684,Thakur,strat_48,48,Develop resource sharing agreements,1,"Patients who were not able to afford the CGM sensor were provided with Libre Pro CGM sensors, which were donated to the CUHCC by Abbott.","The program developed a partnership with an external organization, Abbott, to obtain a necessary resource (CGM sensors) to implement the innovation for uninsured patients.",Correct,1,,,
4890,Ung,strat_48,48,Develop resource sharing agreements,1,Accurately labeled specimens were sent to Clinical Labs of Hawaii for processing.,"The study developed a partnership with an external organization, Clinical Labs of Hawaii, to provide the necessary laboratory processing resources for the HPV self-swab tests.",No,0,Sending samples for processing is not sharing resources,,
3934,Venishetty,strat_48,48,Develop resource sharing agreements,1,Most of the program’s work is done through collaborative agreements and collaborations with multiple community organizations and FQHCs.,"The program established collaborative agreements with FQHCs and community organizations to implement the screening program, which constitutes developing partnerships to share resources.",Correct,1,,,
4115,Walker,strat_48,48,Develop resource sharing agreements,1,"Spokes were compensated with a stipend ranging from $2,500 to $10,000 for data acquisition and sharing based on spoke size and data acquisition complexity.","The study established a formal agreement where participating health centers (spokes) shared patient data with the research team in exchange for financial compensation, which is a direct example of a resource sharing agreement.",Correct,1,,,
4519,EspinozaSalomon,strat_49,49,Faciliate relay of clinical data to providers,1,"Each week, a member of the study team reviewed each participant’s data with them, praising achievements, identifying barriers to physical activity, and discussing solutions.","The study team reviewed weekly personal activity tracker data with participants to provide coaching and feedback, which fits the definition of relaying clinical data to providers to promote the use of the targeted innovation.","No.   Coded appropriately as ""intevene with patients to enhance update""",0,,No,Agree
3528,Kim,strat_49,49,Faciliate relay of clinical data to providers,1,A health coach employed by the health center reviewed the RPM data via a secure web portal.,"The intervention established a secure web portal through which remote patient monitoring data was transmitted and made available for review by the health coach, directly facilitating the relay of clinical data to providers to inform care.",Correct,1,,,
3974,Shareef,strat_49,49,Faciliate relay of clinical data to providers,1,"The patient navigator was provided with a weekly list of individuals with an abnormal FIT and asked to use a checklist to ensure completion of key steps in the follow-up process, and to implement specific interventions for any incomplete steps (Table 1).","A system was established to provide a weekly list of patients with abnormal test results to a navigator, who then used this data to facilitate provider action, fitting the definition of relaying clinical data to promote the innovation.",Correct,1,,,
3934,Venishetty,strat_49,49,Faciliate relay of clinical data to providers,1,The laboratory supplied FIT results to the FQHCs and the project team.,"The study describes a process where laboratory results were supplied directly to the FQHCs, which facilitates the relay of clinical data to providers for patient records and follow-up.",Correct,1,,,
4746,Llavona-Ortiz,strat_50,50,Remind clinicans,1,"Upon completing the TIMI, participants received a printed provider prompt indicating their intent regarding CRCS: (1) “I will definitely get screened to prevent CRC”, (2) “I am thinking about getting screened for CRC”, or (3) “I am not interested in getting screened for CRC.”).","The intervention provided patients with a printed prompt to give to their provider, which serves as a paper-based reminder for the clinician to discuss and facilitate colorectal cancer screening.",Correct,1,,,
3974,Shareef,strat_50,50,Remind clinicans,1,Initiate provider feedback to prompt result review if incomplete,"The patient navigator's role included initiating feedback to providers if they had not reviewed an abnormal result, which serves as a direct reminder system to prompt clinicians to take the next step in the care process.",Correct,1,,,
4811,Bowen,strat_51,51,Revise professional roles,1,"An additional 30-minute educational training was conducted with 1 RN and 1 CMA, who functioned as health coaches for the program.","The project revised the roles of an existing RN and CMA by having them function as health coaches, which involved new responsibilities like weekly coaching calls to implement the behavioral program.",Correct,1,,,
4247,Coronado,strat_51,51,Revise professional roles,1,Centralized clinic outreach staff were trained to deliver live advance notiﬁcation phone calls during a 4-hour in-person training delivered (in English and Spanish) by the study team.,"The study revised professional roles by training and designating centralized outreach staff to deliver live advance notification phone calls, a specific task designed to implement the enhanced outreach program.",Correct,1,"We used a pretty liberal definition in our prior coding.  Even when new task they were trained aligns wiht their general role (e.g., nurses training to deliver FOBT informatio) ",,
4519,EspinozaSalomon,strat_51,51,Revise professional roles,1,"Each week, a member of the study team reviewed each participant’s data with them, praising achievements, identifying barriers to physical activity, and discussing solutions.","The role of the study team was revised to include the new tasks of reviewing personal activity tracker data weekly and providing data-driven coaching to participants, which constitutes a revision of professional roles to support the innovation.",No.,0,This is intended for providers,No,Agree
3936,Farley,strat_51,51,Revise professional roles,1,This presents an opportunity for pharmacists in a collaborative clinic setting to increase their involvement in the screening and referral of patients with SDoH needs to support patients and providers in pursuit of optimal care outcomes.,"This study describes expanding the professional role of pharmacists to include screening and referral for social determinants of health, which is a revision of their duties to facilitate the new clinical process.",Correct,1,,,
4052,Gautom,strat_51,51,Revise professional roles,1,"PRECISE’s PN services were conducted by care coordinators, not registered nurses...","The study revised professional roles by having clinic care coordinators deliver the patient navigation services, a task performed by registered nurses in the program from which this intervention was adapted.",Correct,1,,,
4617,Hammarlund,strat_51,51,Revise professional roles,1,"Project ECHO Diabetes addresses this issue by using a ""hub-and-spoke"" model to deliver tele-education, empowering primary care providers to manage diabetes care effectively in these settings.","The text states that the program empowers primary care providers to manage diabetes care, which represents an expansion of their professional role to include tasks typically handled by specialists.",Correct,1,,,
4036,McAtee,strat_51,51,Revise professional roles,1,"Rhode Island Department of Health’s Diabetes, Heart Disease, and Stroke Program (RIDHDS) expanded the roles of certified CHWs (CCHWs), employed by CHTs, for chronic disease with a focus on CVD and DM from 2020 to 2023.","The program's core activity was to expand the roles of CCHWs by providing them with specialty training in CVD and DM, enabling them to offer targeted health coaching and support, which is a direct revision of their professional role.",Correct,1,,,
3987,Nuno,strat_51,51,Revise professional roles,1,MSD was delivered in Spanish by an assigned promotora from each FQHC.,"The intervention was delivered by existing FQHC staff members, promotoras, who were assigned the new role of administering the 13-week educational program, which constitutes a revision of their professional roles to deliver the innovation.",Correct,1,,,
4684,Thakur,strat_51,51,Revise professional roles,1,"During enrollment and subsequent visits, pharmacists were responsible for the application and removal of CGM sensors. They also provided patient education and instructions on how to use CGM devices.",The implementation strategy involved revising the professional role of pharmacists to include new responsibilities such as applying and removing CGM sensors and providing patient education to facilitate the program.,Correct,1,,,
3934,Venishetty,strat_51,51,Revise professional roles,1,"In this study, some participants received introductory phone calls from patient navigators or CHWs.","The study utilized patient navigators or Community Health Workers (CHWs) to perform specific tasks like making introductory and reminder calls, which constitutes revising or introducing professional roles to implement the screening intervention.",Correct,1,,,
,,,,,,,,,0.8376068376,,,
